Filename, Score
hcdepaoli-1-JGI-009863-col1_S112.vcf,1
hcdepaoli-1-JGI-009863-col2_S113.vcf,1
hcdepaoli-1-JGI-009863-col3_S114.vcf,2
hcdepaoli-1-JGI-009863-col4_S115.vcf,1
hcdepaoli-1-JGI-009897-col1_S104.vcf,1
hcdepaoli-1-JGI-009897-col2_S105.vcf,2
hcdepaoli-1-JGI-009897-col3_S106.vcf,1
hcdepaoli-1-JGI-009897-col4_S107.vcf,1
hcdepaoli-1-JGI-009899-col1_S120.vcf,2
hcdepaoli-1-JGI-009899-col2_S121.vcf,2
hcdepaoli-1-JGI-009899-col3_S122.vcf,3
hcdepaoli-1-JGI-009899-col4_S123.vcf,2
hcdepaoli-1-JGI-009933-col1_S100.vcf,2
